gene,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk
A1BG,307.8588844870625,-1.0839622509763585,0.3809098543342877,-2.845718583129828,0.0044311335988809555,0.016734266915151556
A1BG-AS1,34.60036208291767,-0.490203024822321,0.4464689027557108,-1.0979555839089195,0.2722238846122105,0.41046888149913985
A2M,1220.7316088609743,-0.5261934825742706,0.7390265299678895,-0.7120089215161647,0.4764592514845041,0.6103616175908005
A2M-AS1,12.586457670796808,-0.17541582147343016,0.46785528712958646,-0.37493606741018515,0.7077080145428654,0.7981127465033954
A2ML1,1336.509058919002,1.4779749435131988,0.488418156152575,3.0260442305332726,0.002477760546420367,0.01048019114287902
A2ML1-AS1,0.2500017687189069,-0.09946192480873323,1.7031593863428147,-0.058398483199101694,0.9534312229440013,
A4GALT,307.171140492465,-0.46295540042372224,0.6751606743316276,-0.6856966319639736,0.4929044310788837,0.6254270314746915
AAAS,243.91355056844887,0.3076991817193852,0.18455006281025066,1.6672938336290524,0.09545599219479066,0.18818089462674006
AACS,454.3504752767018,-0.2984415700464735,0.20569359683051766,-1.4509035509373487,0.14680671899945924,0.26040454391533374
AADAC,109.73689859937444,-1.7561160836651935,0.6695377120394487,-2.622878520637721,0.008719035469047766,0.02886392543956366
AADACL2,396.2147786653239,-1.7530735788215421,0.46021492143794274,-3.809249759534217,0.0001393891007105721,0.0009638560023236711
AADACL2-AS1,4.317395272782635,-0.7515005692173767,1.0490284553453209,-0.7163776782108323,0.4737581742144289,0.607837178236084
AADAT,26.745798071133038,-1.425191526930041,0.5179730452055068,-2.751478170769665,0.0059326973700072885,0.021127445118932258
AAGAB,233.0990212070474,0.5724331170091761,0.16665820357472091,3.43477311485916,0.0005930501309051353,0.0032004928742126555
AAK1,546.883055977059,-0.5274400751453096,0.21794173264232627,-2.420096732969057,0.01551637888289955,0.04577760399706276
AAMDC,778.7906808172348,-0.8690005026967438,0.20688851817219342,-4.2003321903706325,2.6652364699236253e-05,0.00024132874522072334
AAMP,1296.6490844081277,0.565269011063706,0.18267863006864019,3.094335724169325,0.0019725413838614873,0.008660531132431936
AANAT,0.6399661228378186,-1.1945191805492699,0.86310492112415,-1.3839791099713228,0.16636485134178214,
AAR2,215.37110308609996,0.2585848797633944,0.20136396230086484,1.2841666244977532,0.19908366041406023,0.3263816859654867
AARD,20.603820765315135,-1.6570511117041948,0.7260493346646,-2.2822844572534087,0.02247255157191964,0.06105490989267407
AARS1,217.56097380499523,0.5786410971602098,0.20738252613046626,2.7902114414219326,0.00526736298526258,0.0192030847184176
AARS2,57.58274462934069,0.39808247721998413,0.24764447005223691,1.6074757378431044,0.10795004750967015,0.20676228611966949
AARSD1,103.31304948771044,0.25841822491876293,0.2932866631398373,0.8811114087228394,0.37825752284903325,0.5207257468455369
AASDH,284.0344905473792,-0.3848543435786553,0.1916323837362043,-2.0082949242463886,0.04461196094983158,0.10456616766030973
AASDHPPT,538.7560845866382,-0.14234482080113475,0.1390509289357843,-1.023688384468626,0.3059824834657149,0.4475034966801185
AASDHPPT-AS1,0.2304269239552985,-1.6924730036476456,1.8306807151189493,-0.9245047427823462,0.3552235833045202,
AASS,210.3859421460262,1.407846905114196,0.29143354618800127,4.830764761054672,1.3600962165460922e-06,2.0021816116763975e-05
AATBC,49.62881029304961,0.9290654226030605,0.2946257003496343,3.1533753555800876,0.0016139413556905066,0.00735205531191069
AATF,605.3851675621561,0.3417503764451299,0.1147106936642548,2.9792372927792985,0.002889669006520237,0.011867588921221355
ABAT,25.548868714456002,-0.6374117119050184,0.27264484197871774,-2.337882892920358,0.019393323935594817,0.05446961200056612
ABCA1,469.48442089991875,-0.7917451839398455,0.2617066536257813,-3.0253154551889043,0.0024837392579829917,0.010503399435857595
ABCA10,87.69339629553602,-0.8853036159412682,0.4817561979478604,-1.837659006178646,0.06611266806635738,0.14144296773812037
ABCA12,612.2798002971091,0.3500292532853121,0.476435444820131,0.7346834856450676,0.462532280175753,0.5984063903424641
ABCA13,8.911117274594572,0.11824218147141394,0.8118344253712289,0.14564814914980373,0.884199155717198,0.9249973522724424
ABCA2,107.98884309134678,-1.1605810186057142,0.3162678329209906,-3.669614477978379,0.0002429165367997217,0.0015328499929223207
ABCA3,40.01095696785098,-0.725865136850668,0.31356958418443304,-2.3148454871303272,0.020621389559026114,0.05706346430636064
ABCA4,7.05209176478022,0.43111795384994933,0.739199973999321,0.583222360679284,0.5597436201661787,0.6827389062785277
